planet_name,host_name,alpha_used,alpha_source,xuv_cumulative_erg_cm2,integration_gyr,escape_metric,shoreline_side,shoreline_margin,method,source,age_gyr_used,age_source,mass_me_used,mass_source,vesc_kms,xuv_rel_earth,flare_frac,host_name_tessall
LTT 1445 Ad,LTT 1445 A,-0.73,default M (Medina+2020),6.7669e+19,5.0,16.23,boundary,-0.25,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),2.721,mass_sini lower limit (Mjup->Me),16.23,7.826e+00,0.00,LTT 1445 A
GJ 667 Cc,GJ 667 C,-0.73,default M (Medina+2020),7.9122e+19,6.0,18.32,boundary,-0.1,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),6.0,star_age (exoplanet.eu/master),3.814,mass_sini lower limit (Mjup->Me),18.32,9.150e+00,0.00,GJ 667 C
GJ 667 Ce,GJ 667 C,-0.73,default M (Medina+2020),2.7249e+19,6.0,16.19,boundary,0.14,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),6.0,star_age (exoplanet.eu/master),2.702,mass_sini lower limit (Mjup->Me),16.19,3.151e+00,0.00,GJ 667 C
GJ 667 Cf,GJ 667 C,-0.73,default M (Medina+2020),5.0800e+19,6.0,16.19,boundary,-0.13,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),6.0,star_age (exoplanet.eu/master),2.702,mass_sini lower limit (Mjup->Me),16.19,5.875e+00,0.00,GJ 667 C
Luyten's Star b,Luyten's Star,-0.73,default M (Medina+2020),8.1931e+19,5.0,16.67,boundary,-0.28,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),2.93,"measured mass (exoplanet.eu, Mjup->Me)",16.67,9.475e+00,0.00,Luyten's Star
HIP 38594 Ab,HIP 38594,-0.8,default FGK (Shibayama+2013),8.9640e+19,5.0,24.02,boundary,0.31,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),8.105,mass_sini lower limit (Mjup->Me),24.02,1.037e+01,0.00,HIP 38594
KOI-4427 Ab,KOI-4427 A,-0.73,default M (Medina+2020),1.9625e+19,3.6,17.96,boundary,0.47,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),3.6,star_age (exoplanet.eu/master),4.739,from radius (Zeng R^3.7 / Wolfgang+2016),17.96,2.270e+00,0.00,KOI-4427 A
TOI-1266 d,TOI-1266,-0.73,default M (Medina+2020),8.5010e+19,7.9,18.09,boundary,-0.16,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.9,star_age (exoplanet.eu/master),3.68,mass_sini lower limit (Mjup->Me),18.09,9.831e+00,0.00,TOI-1266
Kepler-51 e,Kepler-51,-0.8,default FGK (Shibayama+2013),7.5350e+18,0.5,20.77,retain,1.13,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),0.5,star_age (exoplanet.eu/master),5.403,"measured mass (exoplanet.eu, Mjup->Me)",20.77,8.714e-01,0.00,Kepler-51
TOI-2443 c,TOI-2443,-0.73,default M (Medina+2020),3.0823e+19,5.0,25.25,retain,0.86,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),9.312,mass_sini lower limit (Mjup->Me),25.25,3.565e+00,0.00,TOI-2443
Kepler-283 Ac,Kepler-283 A,-0.8,default FGK (Shibayama+2013),7.8072e+18,5.0,17.97,retain,0.87,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),4.685,from radius (Zeng R^3.7 / Wolfgang+2016),17.97,9.029e-01,0.00,Kepler-283 A
Kepler-1649 Ac,Kepler-1649 A,-0.73,default M (Medina+2020),5.1099e+19,5.0,12.18,escape,-0.62,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),1.262,from radius (Zeng R^3.7 / Wolfgang+2016),12.18,5.909e+00,0.00,Kepler-1649 A
GJ 229 d,GJ 229,-0.73,default M (Medina+2020),2.0833e+19,2.45,23.84,retain,0.93,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),2.45,star_age (exoplanet.eu/master),7.93,mass_sini lower limit (Mjup->Me),23.84,2.409e+00,0.00,GJ 229
