host_name,planet_name,B_gauss,Prot_d,Prot_conf,r_A_au,a_over_rA,regime,Hu_bin,method,source
HD 97658,HD 97658 b,8.0,38.5,,0.1214128518162421,0.6589088288699424,borderline,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K1V slow
HIP 38594,HIP 38594 Ab,20.0,100.0,,0.1713978265040886,1.493601203827945,borderline,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K0V
HIP 38594,HIP 38594 Ac,20.0,100.0,,0.1713978265040886,22.199814767833324,super,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K0V
HN Lib,HN Lib b,1460.5325284907567,5.197872545226366,,2.446649339838724,0.057915941484831,sub,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): unsaturated_scaling; P_rot=5.197872545226366; sp=M4.0 V
K2-18,K2-18 b,400.0,39.6,,3.557618912282738,0.0401673151406507,sub,M2C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2.5V active
K2-18,K2-18 c,400.0,39.6,,3.557618912282738,0.0168652127952347,sub,M2C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2.5V active
K2-288 B,K2-288 Bb,400.0,20.309303480754448,,2.969286178560948,0.0552321299254091,sub,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M3V scaling
K2-296,K2-296 b,30.23314898660068,21.678064299998496,,0.9680452417596684,0.1390327581749675,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): unsaturated_scaling; P_rot=21.678064299998496; sp=(missing)
K2-3,K2-3 b,350.0,40.0,,1.617131878818556,0.0479243536133985,sub,M2D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0V
K2-3,K2-3 c,350.0,40.0,,1.617131878818556,0.0868822152604192,sub,M2D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0V
K2-3,K2-3 d,350.0,40.0,,1.617131878818556,0.1289938085645797,sub,M2D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0V
K2-72,K2-72 b,400.0,26.65781221611605,,1.9965910710620576,0.0200341474925672,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V scaling
K2-72,K2-72 c,400.0,26.65781221611605,,1.9965910710620576,0.039066587610506,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V scaling
K2-72,K2-72 d,400.0,26.65781221611605,,1.9965910710620576,0.025042684365709,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V scaling
K2-72,K2-72 e,400.0,26.65781221611605,,1.9965910710620576,0.0530904908553031,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V scaling
Kapteyn's Star,Kapteyn's b,470.0,143.0,,5.734371795557776,0.0292970190963452,sub,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022
Kapteyn's Star,Kapteyn's c,470.0,143.0,,5.734371795557776,0.0542343627319249,sub,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022
